nbnr,npnr,success_ratio,data_collection,source_routing,topology_report,duty_cycle
0,0,1.0,83.41,73.41,47.38,4.374
1,0,1.0,85.96,79.77,59.86,3.551
1,1,1.0,91.40,82.08,67.11,2.852
0,0,0.7,57.51,43.93,42.45,9.033
1,0,0.7,80.75,68.79,70.31,7.644
1,1,0.7,69.61,72.25,63.16,7.048
0,0,0.5,36.08,38.15,33.25,10.87
1,0,0.5,55.69,50.58,66.67,6.204
1,1,0.5,53.39,50.87,50.00,8.324
