nbnr,npnr,success_ratio,data_collection,source_routing,topology_report,duty_cycle
0,0,1.0,92.47,95.95,58.52,3.122
1,0,1.0,93.03,95.35,70.64,2.746
1,1,1.0,95.48,97.11,87.18,1.885
0,0,0.7,87.01,91.91,68.40,6.416
1,0,0.7,78.72,80.23,89.22,4.278
1,1,0.7,86.82,86.13,93.48,4.722
0,0,0.5,60.64,65.32,74.87,7.167
1,0,0.5,54.80,59.30,90.16,4.239
1,1,0.5,59.89,57.23,86.67,3.837
